"classifier_name","classifier_version","classes"
lc_classifier_transient,hierarchical_random_forest_1.0.0,"{SNIa,SNIbc,SNII,SLSN}"
lc_classifier_stochastic,hierarchical_random_forest_1.0.0,"{QSO,AGN,Blazar,CV/Nova,YSO}"
lc_classifier_periodic,hierarchical_random_forest_1.0.0,"{LPV,E,DSCT,RRL,CEP,Periodic-Other}"
LC_classifier_BHRF_forced_phot(beta)_stochastic,beta,"{Microlensing,QSO,AGN,Blazar,CV/Nova,YSO}"
lc_classifier,hierarchical_random_forest_1.0.0,"{SNIa,SNIbc,SNII,SLSN,QSO,AGN,Blazar,CV/Nova,YSO,LPV,E,DSCT,RRL,CEP,Periodic-Other}"
lc_classifier_top,hierarchical_random_forest_1.0.0,"{Transient,Stochastic,Periodic}"
LC_classifier_BHRF_forced_phot(beta)_periodic,beta,"{LPV,EA,EB/EW,DSCT,RRLab,RRLc,CEP,RSCVn,Periodic-Other}"
LC_classifier_BHRF_forced_phot(beta)_top,beta,"{Transient,Stochastic,Periodic}"
stamp_classifier,stamp_classifier_1.0.0,"{SN,AGN,VS,asteroid,bogus}"
stamp_classifier,stamp_classifier_1.0.4,"{SN,AGN,VS,asteroid,bogus}"
LC_classifier_BHRF_forced_phot(beta),beta,"{SNIa,SNIbc,SNII,SNIIn,SLSN,TDE,Microlensing,QSO,AGN,Blazar,YSO,CV/Nova,LPV,EA,EB/EW,Periodic-Other,RSCVn,CEP,RRLab,RRLc,DSCT}"
LC_classifier_BHRF_forced_phot(beta)_transient,beta,"{SNIa,SNIbc,SNII,SNIIn,SLSN,TDE}"
stamp_classifier_2025_beta,beta,"{SN,AGN,VS,asteroid,bogus,satellite}"
lc_classifier_BHRF_forced_phot,"2.1.0","{SNIa,SESN,SNII,SNIIn,SLSN,TDE,Microlensing,QSO,AGN,Blazar,YSO,CV/Nova,LPV,EA,EB/EW,Periodic-Other,RSCVn,CEP,RRLab,RRLc,DSCT}"
lc_classifier_BHRF_forced_phot_top,"2.1.0","{Transient,Stochastic,Periodic}"
lc_classifier_BHRF_forced_phot_periodic,"2.1.0","{LPV,EA,EB/EW,Periodic-Other,RSCVn,CEP,RRLab,RRLc,DSCT}"
lc_classifier_BHRF_forced_phot_stochastic,"2.1.0","{Microlensing,QSO,AGN,Blazar,YSO,CV/Nova}"
lc_classifier_BHRF_forced_phot_transient,"2.1.0","{SNIa,SESN,SNII,SNIIn,SLSN,TDE}"
LC_classifier_ATAT_forced_phot(beta),beta,"{SNIa,SESN,SNII,SNIIn,SLSN,TDE,Microlensing,QSO,AGN,Blazar,YSO,CV/Nova,LPV,EA,EB/EW,Periodic-Other,RSCVn,CEP,RRLab,RRLc,DSCT}"
