tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58286.43408560008,"532434084115010005",1,532434084115,20.808397,-1,532,0.12834392,17.90078,17.020222,"",17.9362,"",0.02089235,100,0.009284612,0.029,"",318.5279422,13.0154273,0.86,"",0,17.9451,0.0349,544120141,false,true,false,"","bulk_1.0.0",0,562353064115015040
"ztf",58289.41841439996,"535418414115010012",1,535418414115,20.520449,-1,535,0.18953015,17.924877,17.009682,"",18.0126,"",0.07546908,0.012367126,0.032485582,0.034,"",318.527952,13.0154127,0.76666665,"",0,18.0197,0.0414,544120141,false,true,false,"","bulk_1.0.0",0,562353064115015040
"ztf",58295.44329860015,"541443294115010004",1,541443294115,20.047155,-1,541,0.057866056,18.065357,16.954391,"",18.1552,"",0.102296256,0.02317152,0.036768317,0.0739,"",318.5279204,13.0154602,0.72,"",0,18.1157,0.0902,544120141,false,true,false,"","bulk_1.0.0",0,562353064115015040
"ztf",58301.41892360011,"547418924115010004",2,547418924115,19.715223,-1,547,0.6905266,18.661106,16.567375,"",18.6758,"",0.15589984,0.0147824,0.02266487,0.1452,"",318.5279309,13.0152692,0.49666667,"",0,18.5151,0.1589,544120241,false,true,false,"","bulk_1.0.0",0,562353064115015040
"ztf",58304.455300900154,"550455304115010007",1,550455304115,20.383623,-1,550,0.11497359,18.40263,16.85489,"",18.4682,"",0.06819683,100,0.01639337,0.0731,"",318.5279373,13.0154321,0.73,"",0,18.5256,0.0961,544120141,false,true,false,"","bulk_1.0.0",0,562353064115015040
"ztf",58310.358148099855,"556358144115015012",1,556358144115,20.685751,1,556,0.07007845,18.060663,16.365309,"",17.9999,"",0.07819389,100,0.01640706,0.0388,"",318.5279228,13.015447,0.65,"",0,17.9231,0.043,544120141,false,true,false,"","bulk_1.0.0",0,562353064115015040
"ztf",58316.35306710005,"562353064115015019",2,562353064115,20.631287,1,562,0.38976556,17.595398,16.103275,"",17.6617,"",0.05469104,0.008120275,0.013837807,0.0317,"",318.5279726,13.0153587,0.70666665,"",0,17.679,0.0382,544120241,false,true,false,"","bulk_1.0.0",0,571271964115010000
"ztf",58319.34692130005,"565346924115010018",2,565346924115,20.657007,-1,565,0.10979104,18.297592,16.632034,"",18.2376,"",0.075915076,100,0.016372107,0.0473,"",318.5279367,13.0154305,0.85333335,"t8_f5_c3",0,18.2294,0.057,544120241,false,true,false,"","bulk_1.0.0",0,571271964115010000
"ztf",58319.37792820018,"565377924115015008",1,565377924115,20.520498,1,565,0.34936002,18.208105,16.394629,"",18.1218,"",0.073811725,100,0.013891042,0.0396,"",318.5279773,13.0155518,0.79,"t8_f5_c3",0,18.1178,0.0467,544120141,false,true,false,"","bulk_1.0.0",0,571271964115010000
"ztf",58322.42168979999,"568421684115015014",1,568421684115,20.746277,1,568,0.3520139,18.1542,16.384277,"",18.1298,"",0.07350543,100,0.014399605,0.041,"",318.5279133,13.0155594,0.7966667,"t8_f5_c3",0,18.1399,0.049,544120141,false,true,false,"","bulk_1.0.0",0,571271964115010000
"ztf",58325.2719676001,"571271964115010002",2,571271964115,19.296768,-1,571,0.14794189,18.258572,16.640636,"",18.2922,"",0.09433838,0.010679925,0.021257592,0.1514,"",318.5279064,13.0154288,0.78,"t8_f5_c3",0,18.3371,0.2016,544120241,false,true,false,"","bulk_1.0.0",0,598295684115015000
"ztf",58325.415439799894,"571415434115010001",1,571415434115,19.411547,-1,571,0.30744487,17.8978,17.021547,"",17.847,"",0.08342716,0.021522325,0.037222564,0.0942,"",318.5279367,13.0153762,0.76,"t8_f5_c3",0,17.7072,0.1058,544120141,false,true,false,"","bulk_1.0.0",0,598295684115015000
"ztf",58331.446886599995,"577446884115010003",1,577446884115,19.826094,-1,577,0.10784925,17.898373,17.021292,"",17.9381,"",0.090837486,0.026799403,0.04049794,0.0789,"",318.5279066,13.01545,0.68666667,"t8_f5_c3",0,17.906,0.0975,544120141,false,true,false,"","bulk_1.0.0",0,604251754115010000
"ztf",58337.374479200225,"583374474115010029",1,583374474115,20.718483,-1,583,0.25898084,17.971832,16.990078,"",18.0841,"",0.06970205,100,0.02821915,0.0373,"",318.5279708,13.0153993,0.79,"t8_f5_c3",0,18.0718,0.0447,544120141,false,true,false,"","bulk_1.0.0",0,604251754115010000
"ztf",58340.33591439994,"586335914115010018",1,586335914115,20.388538,-1,586,0.10307983,18.303421,16.880154,"",18.5728,"",0.16617315,0.03599991,0.044797495,0.0863,"",318.5279129,13.0154448,0.5933333,"t8_f5_c3",0,18.6579,0.1145,544120141,false,true,false,"","bulk_1.0.0",0,604251754115010000
"ztf",58346.30876159994,"592308764115015048",2,592308764115,20.83046,1,592,0.2578539,18.679405,16.292305,"",18.8726,"",0.09268992,100,0.010284722,0.0874,"",318.5279026,13.0153961,0.62333333,"t8_f5_c3",0,18.8908,0.1063,544120241,false,true,false,"","bulk_1.0.0",0,604251754115010000
"ztf",58349.31590279983,"595315904115015018",2,595315904115,20.653448,1,595,0.16696613,18.185238,16.224995,"",18.2982,"",0.10070049,0.010815449,0.016555209,0.055,"",318.5279512,13.0154169,0.69666666,"t8_f5_c3",0,18.3431,0.069,544120241,false,true,false,"","bulk_1.0.0",0,604251754115010000
