tid,mjd,fid,diffmaglim
"ztf",58292.46136569977,2,20.7838
"ztf",58298.419953700155,2,19.4024
"ztf",58301.3212731001,1,19.532
"ztf",58304.397361100186,2,20.5856
"ztf",58307.39821759984,2,20.79
"ztf",58307.44358799979,1,20.7554
"ztf",58322.39379630005,2,20.6779
"ztf",58328.33460649988,2,18.2697
"ztf",58328.44086810015,1,17.9487
"ztf",58331.37118060002,2,18.4227
"ztf",58334.35444439994,2,20.5719
"ztf",58340.311782400124,2,20.5018
"ztf",58343.338379600085,2,20.675
"ztf",58346.315798600204,1,20.9114
"ztf",58355.422326399945,2,19.4571
"ztf",58382.232777799945,1,19.8776
"ztf",58382.29983799998,2,19.841
"ztf",58385.23059030017,2,19.6983
"ztf",58385.33861109987,1,18.889
"ztf",58426.109849500004,2,18.3315
"ztf",58432.108900499996,2,20.2265
"ztf",58438.21319440007,1,16.3575
"ztf",58438.235057900194,2,16.3429
"ztf",58593.44686339982,2,19.2776
"ztf",58655.29967590002,1,19.201
"ztf",58658.39922450017,2,20.3535
"ztf",58658.46061340021,1,20.1229
"ztf",58661.42355319997,2,20.5741
"ztf",58675.461655099876,2,20.5133
"ztf",58678.42488430021,1,20.1444
"ztf",58678.46127310023,2,20.3229
"ztf",58681.4793866002,1,19.144
"ztf",58694.3587962999,2,20.7657
"ztf",58697.39614580013,2,20.552
"ztf",58703.40239580022,2,20.6352
"ztf",58706.39292819984,2,20.4114
"ztf",58709.441446799785,1,19.2942
"ztf",58721.30839119991,2,18.2749
"ztf",58725.31739579979,1,20.7785
"ztf",58730.15140049998,2,20.314
"ztf",58734.37008100003,2,19.921
"ztf",58734.37796299998,1,20.0941
"ztf",58750.27888889983,2,20.0316
"ztf",58764.252847199794,1,19.5953
"ztf",58777.094548599795,2,20.0705
"ztf",58794.107233799994,2,19.7401
"ztf",58797.085833299905,2,19.8245
"ztf",58801.07439809991,2,19.9808
"ztf",58811.08908559987,1,20.1405
"ztf",58811.11118059978,2,19.8362
"ztf",58814.12900459999,2,19.1687
"ztf",58840.099108799826,2,15.711
"ztf",58970.4229629999,2,20.2655
"ztf",58970.47699069977,1,20.7585
"ztf",58978.49023150001,2,18.3325
"ztf",58987.4563310002,1,20.7722
"ztf",58999.45687500015,2,20.2122
"ztf",59023.34310190007,1,20.5928
"ztf",59026.37881939998,1,20.2008
"ztf",59026.46185189998,2,20.396
"ztf",59026.47916670004,2,20.1602
"ztf",59036.24133099988,1,18.7678
"ztf",59045.35604170011,2,20.7829
"ztf",59046.42766200006,2,20.6686
"ztf",59048.396226900164,2,20.6704
"ztf",59051.37682869984,2,20.5903
"ztf",59054.36003470002,2,20.7299
"ztf",59054.38393520005,2,20.8153
"ztf",59057.36516200006,2,20.6789
"ztf",59057.36767360009,2,20.5749
"ztf",59057.38802079996,1,20.7903
"ztf",59057.394189800136,1,20.7659
"ztf",59059.326330999844,2,20.1856
"ztf",59060.383530099876,1,20.7534
"ztf",59060.41187500022,2,20.7428
"ztf",59063.31270830007,2,19.5445
"ztf",59068.362442099955,2,20.1943
"ztf",59069.41056710016,2,20.2874
"ztf",59077.30799769983,2,17.2593
"ztf",59079.31107639987,2,20.6497
"ztf",59085.317812500056,2,20.7288
"ztf",59087.26821759995,2,20.1918
"ztf",59088.363298600074,2,20.3028
"ztf",59090.28087959997,1,19.4168
"ztf",59091.30153940013,1,19.673
"ztf",59094.3120833002,2,19.0454
"ztf",59096.31800930016,2,19.9132
"ztf",59099.333217599895,2,20.1258
"ztf",59109.1846758998,2,20.2052
"ztf",59112.20743060019,2,20.5253
"ztf",59115.24450229993,1,20.568
"ztf",59115.28773149988,2,20.5461
"ztf",59118.27608799981,2,20.177
"ztf",59123.18695600005,1,19.2006
"ztf",59124.29714119993,2,19.4808
"ztf",59126.22574070003,1,21.8118
"ztf",59127.255358799826,2,15.978
"ztf",59129.171643500216,1,18.3275
"ztf",59129.19505790016,2,20.4719
"ztf",59138.13140049996,2,20.512
"ztf",59140.132986099925,2,20.7283
"ztf",59140.15655090008,1,20.8407
"ztf",59142.16660880018,2,16.6454
"ztf",59142.18593750009,1,16.486
"ztf",59146.14208329981,1,16.7495
"ztf",59149.252442100085,1,18.6408
"ztf",59151.11313659977,2,19.8996
"ztf",59151.15111109987,1,19.5492
"ztf",59153.0885648001,2,20.0075
"ztf",59155.18075230019,1,19.7521
"ztf",59169.17386570014,2,19.9478
"ztf",59171.1007869998,2,19.6939
"ztf",59173.10100689996,2,20.3895
"ztf",59175.12962959986,2,18.4306
"ztf",59182.14003469981,1,19.2429
"ztf",59182.184756900184,2,19.4099
"ztf",59190.11570600001,2,20.2182
"ztf",59194.118715300225,2,19.861
"ztf",59197.110069400165,1,16.7368
"ztf",59197.16692129988,2,16.645
"ztf",59290.54071759991,2,19.1635
"ztf",59297.5343865999,2,19.1655
"ztf",59324.48947919998,1,20.425
"ztf",59329.447881899774,2,19.4475
"ztf",59335.44290510006,1,19.4627
"ztf",59335.47480319999,2,18.9643
"ztf",59349.4352545999,1,20.584
"ztf",59349.46247689985,2,20.4404
"ztf",59371.44335650001,2,20.6938
"ztf",59374.40506940009,1,20.6319
"ztf",59374.44212959986,2,19.3561
"ztf",59384.35894680023,2,18.5982
"ztf",59394.42248839978,2,19.9138
"ztf",59399.382361100055,2,18.9881
"ztf",59408.37835650006,1,20.5459
"ztf",59408.42065969994,2,18.8323
"ztf",59422.383506900165,2,19.8835
"ztf",59424.331145800184,2,20.301
"ztf",59428.29906249978,1,20.6601
"ztf",59430.31657409994,1,20.7299
"ztf",59430.341006900184,2,20.5946
"ztf",59438.3212731001,2,20.5006
"ztf",59444.27766200015,2,19.631
"ztf",59444.34634259995,1,19.9333
"ztf",59448.27290510014,2,19.1233
"ztf",59450.31432869984,2,18.7845
"ztf",59450.40956019983,1,18.4859
"ztf",59455.23640049994,1,20.6713
"ztf",59455.25440970017,2,20.5735
"ztf",59461.27707180008,2,20.5773
"ztf",59463.25612269994,2,20.6717
"ztf",59467.235752299894,2,20.6997
"ztf",59469.1947337999,2,20.5294
"ztf",59469.234548599925,1,20.7038
"ztf",59478.31053239992,1,18.9462
"ztf",59480.2161921002,2,19.9874
"ztf",59485.21098379977,2,20.6028
"ztf",59490.16341440007,2,19.9629
"ztf",59490.1917940001,1,16.4464
"ztf",59494.17168979999,1,19.6932
"ztf",59504.16414349992,2,19.9456
"ztf",59521.12945599994,2,20.6556
"ztf",59523.20082180016,1,20.567
"ztf",59525.129120400175,2,20.6947
"ztf",59525.20306710014,1,20.3705
"ztf",59527.20394679997,2,20.1836
"ztf",59531.124606499914,2,19.6599
"ztf",59537.13351849979,2,18.2625
"ztf",59537.19767360017,1,18.4791
"ztf",59709.46621529991,2,18.8649
"ztf",59711.40396990022,1,18.7732
"ztf",59714.43002310023,2,19.6145
"ztf",59714.45762730017,1,19.5487
"ztf",59731.45725690015,2,20.3358
"ztf",59739.40591439977,1,20.7754
"ztf",59750.37973379996,2,20.1182
"ztf",59753.4559491002,2,20.645
"ztf",59756.38800929999,2,20.7515
"ztf",59758.401157400105,2,19.9349
"ztf",59758.42042820016,2,19.7733
"ztf",59760.35866900021,2,19.8851
"ztf",59760.41250000009,2,20.327
"ztf",59770.39756939979,1,20.536
"ztf",59770.42460650019,1,20.7746
"ztf",59775.37711809995,2,19.6699
"ztf",59775.41996529978,2,19.6944
"ztf",59778.38221060019,2,19.9187
"ztf",59784.361851899885,1,20.8384
"ztf",59797.35962959984,2,20.8048
"ztf",59805.31766200019,2,19.4066
"ztf",59809.278680600226,2,20.4979
"ztf",59809.35238429997,1,20.2024
"ztf",59817.234143500216,2,20.409
"ztf",59826.32228010008,1,20.4993
"ztf",59842.213356500026,2,20.684
"ztf",59853.20672449982,2,20.7563
"ztf",59859.19692130014,1,19.5182
"ztf",59859.22768520005,2,19.7495
"ztf",59863.2175925998,2,19.2669
"ztf",59867.13040510006,1,20.9002
"ztf",59867.16900460003,2,20.7482
"ztf",59870.1714583002,2,20.5886
"ztf",59881.14094909979,1,20.4096
"ztf",59896.12133099977,2,20.2786
"ztf",59898.12097219983,1,20.3459
"ztf",59906.10298610013,1,20.4577
"ztf",60020.53752310015,2,19.2858
"ztf",60020.542338000145,2,18.8936
"ztf",60065.429571799934,2,19.5545
"ztf",60065.44350690022,1,19.5572
"ztf",60073.40210650023,2,19.0064
"ztf",60079.42972220015,2,20.5737
"ztf",60079.46392360004,1,20.6467
"ztf",60108.43524309993,2,20.5322
"ztf",60118.45480319997,2,20.3896
"ztf",60138.4506019,2,19.2169
"ztf",60146.35641200002,2,20.717
"ztf",60146.42285879981,2,20.6634
"ztf",60150.40638889978,1,20.2879
"ztf",60152.32295140019,2,20.5057
"ztf",60154.35877310019,1,19.0473
"ztf",60160.31643520016,1,19.5964
"ztf",60162.33862269996,2,20.3782
"ztf",60165.37438660022,1,18.6882
"ztf",60174.333738400135,1,20.6382
"ztf",60179.31842589984,1,21.5153
"ztf",60183.42806709977,1,20.1227
"ztf",60185.23850690015,2,19.8834
"ztf",60187.173819399904,1,19.1696
"ztf",60207.23466440011,1,20.834
"ztf",60211.23947919998,1,19.9703
"ztf",60213.2094676001,2,19.7128
"ztf",60221.18607639987,1,20.311
"ztf",60221.213391200174,2,20.0776
"ztf",60232.186782400124,2,20.123
"ztf",60238.1320369998,2,20.4114
"ztf",60238.212754600216,1,20.4037
"ztf",60249.132118099835,1,19.7965
"ztf",60249.16430559987,2,19.7528
"ztf",60260.12327549979,2,20.0539
"ztf",60288.15337960003,2,19.1728
"ztf",60374.554537000135,2,18.513
